date,open,low,high,close
1949/5/16,-,-,-,176.21
1949/5/17,-,-,-,174.8
1949/5/18,-,-,-,172.53
1949/5/19,-,-,-,171.34
1949/5/20,-,-,-,169.2
1949/5/21,-,-,-,169.92
1949/5/23,-,-,-,171.85
1949/5/24,-,-,-,172.75
1949/5/25,-,-,-,171.53
1949/5/26,-,-,-,170.43
1949/5/27,-,-,-,172.76
1949/5/28,-,-,-,176.3
1949/5/30,-,-,-,176.21
1949/5/31,-,-,-,176.52
1949/6/1,-,-,-,175.97
1949/6/2,-,-,-,174.76
1949/6/3,-,-,-,175.48
1949/6/4,-,-,-,175.98
1949/6/6,-,-,-,174.92
1949/6/7,-,-,-,173.83
1949/6/8,-,-,-,171.53
1949/6/9,-,-,-,170.15
1949/6/10,-,-,-,167.98
1949/6/11,-,-,-,167.86
1949/6/13,-,-,-,165.27
1949/6/14,-,-,-,158.98
1949/6/15,-,-,-,153.81
1949/6/16,-,-,-,157.8
1949/6/17,-,-,-,160.13
1949/6/18,-,-,-,160.42
1949/6/20,-,-,-,155.45
1949/6/21,-,-,-,152.99
1949/6/22,-,-,-,155.01
1949/6/23,-,-,-,155.76
1949/6/24,-,-,-,154.04
1949/6/25,-,-,-,153.35
1949/6/27,-,-,-,150.58
1949/6/28,-,-,-,147.13
1949/6/29,-,-,-,146.14
1949/6/30,-,-,-,146.92
1949/7/1,-,-,-,147.37
1949/7/2,-,-,-,150
1949/7/4,-,-,-,149.14
1949/7/5,-,-,-,146.52
1949/7/6,-,-,-,144.18
1949/7/7,-,-,-,143.66
1949/7/8,-,-,-,142.16
1949/7/9,-,-,-,140.03
1949/7/11,-,-,-,135.84
1949/7/12,-,-,-,134.8
1949/7/13,-,-,-,140.02
1949/7/14,-,-,-,141.28
1949/7/15,-,-,-,142.29
1949/7/16,-,-,-,144.89
1949/7/18,-,-,-,147.23
1949/7/19,-,-,-,148.55
1949/7/20,-,-,-,147.09
1949/7/21,-,-,-,145.97
1949/7/22,-,-,-,145.67
1949/7/23,-,-,-,146.5
1949/7/25,-,-,-,144.88
1949/7/26,-,-,-,144.66
